instruction,input,output
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","In my opinion you attribute to Islam a power which it does not have, the maldistribution of wealth and thus of the access to food and water must be ascribed to the local governments and to the excessive power of the multinationals; it is like saying that we will suffer from hunger and diseases because of Christians or Buddhists or Hindus.",non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",La liberté de conscience aussi.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","I do not see why that would be offensive.? Please do walk your dog, it needs the exercise.",non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Fortunately there are few who have such a fanatical and crazy interpretation of Islam.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",I am not aware that Muslims (which is different from the Arabs since some are Christians) seek to impose their rules on us.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Political Islam is a pretext for the opression of Muslim citizens.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",There aren't monotheistic religions that profess violence. Those who practice violence are to be considered extremist regardless of the religion to which he belongs.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Yes but subject to God.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Non tutti i musulmani sono integralisti.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",What frightens me personally is the ignorance you proudly display in the eyes of the world.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","Veramente il terrorismo non è un fenomeno islamico: in America fanno un attentato al giorno, non certo in nome di Allah.",non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Le code civil (rédigé par Napoleon) est inspiré du droit islamique.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",What is your problem with Muslims? They are people who profess a religion of peace.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","I do not shared your opinion, but I do acknowledge that opinions, mine or your, do not have to be based on fact or knowledge. My 'experience' of Muslims, as neighbours, colleagues, friends hasn't led me to view them as a problem.",non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",No one's saying do not ask questions. Maybe if you did the answers would surprise you.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Je suis française et musulmane.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","I do not support this. If we go back to the beginning of terrorism, the initiators were not Muslims.",non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Poor you! I feel sorry for you!,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","No, it is not a fact because it is simply not true.",non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Have you collected their opinion before making such comments?,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","Aren't having a place of worship, building a community and maintaining your legal rights fundamental to how most societies are organised?",non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Muslims are anti-Semitic.,hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Conosco più italiani che sono sempre a casa malati che islamici.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Les musulmans imposent des règles vestimentaires aux filles.,hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","L'islam si è dimostrato assai più tollerante del Cristianesimo: mentre i cristiani imponevano la conversione nei territori conquistati, i musulmani lo facevano assai più raramente.",non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",So their faith and belief in the teachings of God guides them to a virtuous path of public service. What exactly are you complaining about?,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Easter Eggs were always about children getting chocolate and very little about any religion.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","Muslims believe in all teachings of the Koran, even if it has 1400 years. This evil book is the main source of evil in all the world.",hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Words may hurt people as well.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","Although in Italy we have tens of thousands of Muslim immigrants, I do not remember many cases of bombs on our territory. Do you have different information?",non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","Some Muslims might not be involved in assaults but the basis of their religion is jihad, and they all support it. Islam in all its parts have Sharia law, and so all Muslims are extremists.",hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",No. Discriminatory speech against a religion does.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",C'est la liberté de culte.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Our country allows us to live our religion.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","Les femmes voilées subissent beaucoup de discriminations, ce qui pourrait pousser certaines d'entre elle à s'enfermer.",non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","Concorrenza ma mica stiamo parlando di bar eh, c'è la libertà di culto in Italia.",non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","L'islam non impone il velo, è sempre legato alla scelta delle donne , così come il farsi suora o prete o mantenersi vergini fino al matrimonio.",non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Finally we recognize the Muslims in France.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Seriez vous leur agent de liaison?,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Pourquoi dans de haine pour une communauté qui ne demandent juste d'être en paix :(.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Looks to me like supermarkets just want to sell more products to people regardless of faith.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","In quasi tutti i paesi musulmani il velo è una scelta (della donna o della famiglia), non è imposto per legge. Lo è in Iran.",non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Islamophobia is a disease like any racism.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Ignorance is a disease that Islam can eradicate!,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Cearly this is not a way to catch a disease is it?,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",N'importe quoi.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","Avec une telle fausse affirmation, on ne peut sûrement pas faire confiance à votre jugement! Cette façon d'essentialiser ne convaincra personne.",non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Une femme voilée est libre du regard malsaint d'un homme.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",L'islam crée des problèmes pour notre société.,hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Si un voile a cet effet sur toi comment supportes tu de te balader en ville avec autant de melting pot?,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","Our women mostly suffer abuses especially in the home, in some cases from childhood by a family member.",non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Et si tu apprenais à me connaître peut être que je serais moin agressive.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","Au contraire, le principe de laïcité de la république française protège chaque individu qui voudrait pratiquer sa confession de manière libre.",non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",(en réagissant à une attaque terroriste:) bien sûr encore un blond aux yeux bleus qui s'appelle édouard.,hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","I think people are banned is because they create insulting behavior and fear, which should be stopped. Besides, the majority of Muslims who follow Islam are kind people. Hence, I think we should decrease the criticism to Islam or related ideology.",non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Il y a trop de -istes dans votre tweet. C'est le nouveau vire langue des identitaires ?,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","You can be ""fundamentally"" Islamist and Salafist but in the peaceful way.",non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Because we believe in freedom of religion here. Why should it bother anyone else for Muslims to practice their faith peacefully alongside others?,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","Islam means peace in Arabic. How can a religion with such a name want to discriminate against a part of people who because they are not Muslim must still hate it? One thing the first batch of the Koran that has been identified is ""read"" it will have to start instead of telling nonsense.",non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",N'inversons pas les rôles. Les femmes voilée sont interdite de tout!,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Muslims hate anyone who is not Muslim.,hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Individuals have always used religion as an excuse to justify violent acts but it has never been the cause. Islam is no different.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","From what source did you obtain this information? Can you send me the sources, please?",non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","Have you ever spoken with a woman who wears it? No, that for sure!",non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","No, clearly.",non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","Nobody deserves to be discriminated against, regardless of his confession, sex or otherwise. Thank you.",non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","Apart from the fact that you couldn't catch HIV like that, disease does not discriminate on religious grounds.",non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","L'islam est une religion de guerre, nous devons tous le combattre.",hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Una donna che accetta di vivere nascosta sotto un velo e farsi picchiare dal suo uomo non merita di vivere in un paese civile come l'Italia.,hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","La république est aveugle, il ne lui convient pas de rendre compatible une religion.",non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Wearing the veil is a choice for the majority of women.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Le voile protège la femme de la perversité .,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Il est nocif d’attaquer une minorité tranquille qui ne souhaite qu'une chose: s'intégrer à la société.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","Never mind a bit of praying in public, how to we stop the Salvation Army waking us up of a Sunday with 'Onward Christian Soldiers'. A working man deserves a lie-in!",non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",D une croyance en islam c est tous.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","The Arabs that are in Italy want a better working and living conditions of those in their country. Certainly, they do not aim to command at our house.",non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","Truly, if we come back to the Middle Ages, I would hope to finish in the Islamic world. They are the ones who brought us out of the dark ages. The Islamic world after the Roman Empire and before the Enlightenment was the cradle of humanity, for almost a thousand years.",non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",1. Why should Muslims impose their beliefs? 2. Women are not obliged to wear the veil. It is a free choice.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","La chose qui vous dérange, c'est que les musulman.e.s ne rasent plus les murs et refusent de se cacher désormais.",non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Le voile islamique relève des convictions propres a chacun.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Et les juifs sont tous des radins? Arrêtez avec vos clichés.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","Today, the fastest evolving religion in America and Europe is Islam. Is there a war in these regions now?",non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",This is the result of listening too much to the media.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","Non risulta da nessuna parte che un arabo stia tentando di comandare a casa nostra, a meno che i membri del governo non abbiano antenati arabi, cosa molto probabile visto che noi italiani siamo uno dei popoli più misti al mondo.",non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","L'islam promeut le bon comportement, la justice, le respect du prochain, la paix. En quoi cela est il incompatible avec Liberté-Egalité-Fraternité?",non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","To the minister: you should start to contrast the terror and crisis caused by the Islamic religion! Please, stop doing nothing.",hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",These are the wrong images that frighten you.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","Islam teaches only hate! Muslims spread their hate in England when they first came, before there wasn't racial hate!",hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Si c était le cas vous ne seriez pas la à m écrire des incongruités.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Rispettare la loro religione e il loro modo di vivere sarebbe sicuramente un' idea migliore.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Le terrorisme n est pas une valeur musulmane.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","La responsabilità penale è personale, non può pagare un'intera categoria per gli errori di pochi.",non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","L'islam non è una religione retrograda. Per quasi mille anni, il cuore dello sviluppo tecnologico e filosofico è avvenuto nei paesi arabi, dopo il crollo dell'Impero Romano, mentre in europa si viveva nei secoli bui. Gran parte dell'opinione comune sull'islam sono pregiudizi.",non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",L'islam est une religion qui doit être respectée comme toutes les autres religions en France.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Donc ce n est plus un problème pour vous!,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Christians are present all over the world and no one asks questions.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","I understand the concern linked to certain crimes committed by foreign citizens, but generalizing is unfair to all those who want to integrate normally.",non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Les musulmans sont français.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Islam means Peace.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Les musulmans veulent imposer la sharia en Europe.,hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","Buonasera, quindi lei mi sta dicendo che brucerebbe col Napalm bambini arabi?",non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",You cannot think that the entire Muslim population dies. Why would you do something so horrible?,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Sorry I think your a couple millennia too late.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","I am more worried about the Pope's recent acknowledgement that Nuns are being abused in the Church right now, as is Child abuse -he's asked the clergy to turn themselves in; the white grooming gangs that go unhindered in Rochdale because no one is looking for them.",non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","Criminals must be punished but not confused with the majority, who lives with us peacefully.",non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","Non, c'est juste un choix personnel de pratique religieuse.",non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Dans un pays libre elles sont libres de porter ce qu'elles veulent.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",L'islam pose beaucoup de problèmes à notre société.,hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",C'est vous qui créez des problèmes et des polémiques pour taper sur les musulmans.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Deja quelle est la définition de ces mots.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","The question of the veil is open. The same Muslim women in some countries are struggling to get rid of it, for example, in Iran. We have to support their struggle.",non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","Certainly terrorism is a phenomenon that can and should worry, but it is kept under control and it is very unlikely that we will come to these levels.",non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Cette phrase n'a aucun sens.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Most Muslims are well-integrated in society and do not want to be 'appeased' and instead treated as normal citizens in society.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",How is it a submission to hide your attire?,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Housewife is a whole status.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","Faux, la majorité de musulmans respecte les valeurs républicaines.",non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","Storicamente il popolo più violento, sanguinario e oppressore è stato quello Europeo, quindi direi che non si possa assolutamente generalizzare.",non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",People who can practice their religion are people who feel respected and therefore they respect and learn to respect people of different religions.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Islam is a religion that adapts to the country.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","The pillars of Islam does not preach the imposition of religion, indeed they preach co-existence of religions and tolerance. The majority of Muslim foreigners arrive in Italy, because they fled from the country of origin for war and/or persecution conditions. It would be cruel to send them back there.",non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","Try to know the person in question, a human being like you who claims nothing and who has no desire to live fully, if existence and in peace.",non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Vient je t'invite a boire un thé.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Sur quel fait vous vous appuyez pour affirmer cela?,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Where do you get this misconception of that only Muslims practise FGM?,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","Generalizing is very dangerous. Perhaps these are people who have a belief different from yours, but the integration and encounter between different cultures is essential nowadays.",non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","Musulman mène aux guerres, ce n'est pas une religion progressiste.",hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","C'est évident si elles sont comme vous dites ""soumises"".",non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Do you have any evidence that Islam is being forced fed? I did not think so.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",The majority of Muslims are ordinary citizens. Some can be very orthodox as in all religions.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","People who commit offenses are punished by law. Muslims are not all criminals, nor are beasts. They are people like all of us and they can make mistakes. They should not be treated differently just because they follow a different religion.",non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Faux. L'école de la république nous apprends la tolérance et le vivre ensemble. J'ai eu cette chance d'y passer quelques années.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","Je porte le voile et personne ne m'oblige de le porté, je ne suis pas marié et je suis convertie à l islam donc famille non musulmane donc aucune pression.",non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",What is political Islam?,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Aren't you generalizing?,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",If you would inform yourself and you would make a comparison between the number of churches and the number of mosques you would understand that what you are saying is false. And the number of mosques is far inferior to the number of churches.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Les musulmans doivent se convertir ou quitter la France.,hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",The veil is a choice for the woman and a garment of piety that testifies her devotion to the Lord.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","Good evening, then you confirm me that all countries with an Islamic majority are poor and sites of diseases that are disappeared? Can you link me analysis about it? Thank you.",non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Non mi sembra che facciamo la fame. Invece finché altre persone fanno la fame in Africa tutto bene?,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Il numero di moschee in Italia è insignificante rispetto alle chiese e non ci sono dati che mostrino che questo numero è destinato ad aumentare in modo così netto.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",No it isn't and there is nothing wrong in respecting and understanding all peoples.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",It is curious that almost all easter eggs are being labelled 'chocolate eggs'. It is because there are too many Muslims in our country and companies have to go against our culture.,hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",C'est une parole des extrémistes.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","Nah mate, they really don't.",non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Are you suggesting that their very existence is an excuse for your hate?,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","Muslims recognize Jesus as a prophet, albeit less important than Muhammad, and recognize his message.",non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",The only reason these gangs exist in the first place is because they do not have an institution like the BBC or the Church to shield them.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","Damn bastards, they want us to close all churches.",hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Muslims have been in Europe since the 6th century and they belong here as much as anyone else.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","The Republic has not always respected its own values: slavery, colonialism, the inferiorization of women. When you point fingers, four fingers point you!",non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","Viviamo in uno Stato laico, è giusto che il crocefisso non sia obbligatorio.",non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","The cases of hate-mongering imams are very few, actually.",non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Nous sommes déjà dans nôtres chère pays français de confession musulman.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",What makes Islam any less valid than any other religion?,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","How many times have you read their main book? There is no blaming other cultures or instructions to violence its a myth, like most false news, lies or a few bits twisted and taken out of context.",non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","I am not sure what you think the West will be the 'winner' of. Islam isn't in competition with Western culture, and the idea it threatens it is a myth spread to incite fear.",non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","Se solo cercassimo di integrarli realmente, invece di relegarlo al margine della nostra società, forse i fenomeni di violenza sarebbe limitati.",non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",C'est du délire islamophobe.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","Labour party counts upon the votes of Britain Muslims, that is why they do not deal with disgusting antisemitism from their side! It is a question of math, that is all.",hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Je ne sais pas répondre à cette question.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","Veil is a religious devotion, like prayers are for all religions.",non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","Image (features protesters with signs such as 'behead those who insult islam') with a caption saying 'We are labelled as islamophobic but how can we be accused of such a thing, if all they want is to murder all of us?'.",hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",L'islam est une des religions minoritaires dans ce pays et elle l'est durablement. Croire qu'il y a un complot extra terrestre d'islamiser la France est un pur délire. Une grande partie des musulmans français est issue de l'immigration. On a fait venir les parents et grand-parents comme main d'oeuvre bon marché et docile. Il s'avère qu'ils étaient en grande partie aussi musulmans et attachés à leur pratique religieuse. Et leurs enfants et petits-enfants aussi en grande majorité.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",I invite you to see a shrink.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","More than 1,400 years that Islam exists, so over 1,400 years that Islam is political.",non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","Ma Salvini non aveva detto che li avrebbe rimpatriati tutti con gli aerei? Ora siamo tornati ai barconi, vedete che voi razzisti non riuscite ad essere coerenti?",non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Cosa le fa pensare che gli islamici vogliano farci adattare alla loro cultura?,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","The beasts are able to accommodate their own kind in their communities, if you were at least bestial, you probably would have a greater ability to live together.",non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","Could you mind your language? You are insulting millions of people who are Muslims. Isis are war criminals, but why are you equaling them with all Muslims?",non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Vivo in una città assolutamente multietnica e non mi sembra che succeda niente di allarmante.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Dans votre pays? Ou ça en musulmanie?,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",There are very few mosques in Italy compared to the churches.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","The Middle Ages is not represented by professing one religion instead of another, it is rather represented by discriminating on the basis of someone's faith.",non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Accepting people from all walks of life is not an illness.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","Islam is a religion devoted to love for one's fellow, jihad is a minority not related to religion.",non-hate
